y,residuals,x
1.7872474,0.22775258064270032,2.015
3.6885498,0.2824502429962159,3.971
7.6350555,0.28094445800781287,7.916
12.052728,-2.6927276992797857,9.36
26.120625,-0.2816245422363295,25.839
35.25659,1.5634082031250003,36.82
44.79874,-1.418740386962888,43.38
50.290382,-1.9303823852539068,48.36
52.81338,-2.693381195068362,50.12
50.826183,-0.5941833190917976,50.232
51.820457,-1.5004574584960935,50.32
51.51728,-0.3832805786132809,51.134
2.0347795,-0.09377954864501947,1.941
4.0691705,0.08282952499389662,4.152
6.114761,0.06923912429809587,6.184
8.046993,0.05500674438476594,8.102
10.125973,0.03902725219726477,10.165
11.9614,0.039599967956542415,12.001
14.370448,0.017551887512206932,14.388
16.364906,-0.014906311035154829,16.35
19.420729,-0.05472868347168003,19.366
27.535172,-0.17017150878906406,27.365
39.678513,-0.38551257324218824,39.293
48.924156,0.9798438110351597,49.904
53.970055,0.6829453735351549,54.653
60.950794,1.0812057800292934,62.032
64.684555,0.479444946289064,65.164
66.70562,0.1403801879882849,66.846
64.99473,1.2392719116210884,66.234
2.0055027,-0.318502700805664,1.687
3.8889418,-0.3259417648315428,3.563
8.129683,0.03231745910644612,8.162
11.994594,0.7754063796997066,12.77
27.308142,-0.514141708374023,26.794
38.330387,0.08561288452148119,38.416
48.232433,-0.4744333190917942,47.758
51.372944,2.1660561218261734,53.539
59.67549,-0.9754913330078097,58.7
57.60337,2.7596293334960933,60.363
61.96403,0.01496878051757733,61.979
60.082645,1.1303545837402353,61.213
2.3907251,-0.7897251358032227,1.601
3.1962132,0.6077867546081541,3.804
6.3883066,1.7366933822631836,8.125
17.931547,-1.0915471649169923,16.84
26.31302,-2.0730207061767594,24.24
40.733486,-0.4554861755371107,40.278
45.79365,-0.958651580810546,44.835
53.63297,-1.7889689025878894,51.844
59.266937,-2.226937255859376,57.04
58.915096,-0.14609628295898602,58.769
61.279858,-2.04985763549805,59.23
60.36965,-0.983651794433591,59.386
