y_experimental,y_predicho,residuos
2.015,2.142088357410838,-0.1270883574108379
3.971,3.8710990057410015,0.09990099425899857
7.916,6.902304563810105,1.013695436189895
9.36,10.306504091796302,-0.946504091796303
14.36,16.60695151005116,-2.2469515100511614
25.839,24.763665999292254,1.0753340007077448
36.82,34.255137338318,2.5648626616819996
43.38,42.96712818468182,0.4128718153181836
48.36,48.460431235226906,-0.10043123522690678
50.12,51.07534809361897,-0.9553480936189729
50.232,50.33204999592668,-0.10004999592668185
50.32,50.420449026412555,-0.10044902641255504
1.941,2.747309340654386,-0.806309340654386
4.152,4.606147630324102,-0.4541476303241021
6.184,6.433277092452631,-0.24927709245263063
8.102,8.201987056961912,-0.09998705696191124
10.165,10.1407479544947,0.02425204550529969
12.001,11.7921111987216,0.20888880127840004
14.388,14.120894114996215,0.26710588500378485
16.35,16.146543447760806,0.2034565522391958
19.366,19.220076368705712,0.14592363129428776
27.365,27.46458814092479,-0.09958814092479074
39.293,39.50937271684374,-0.21637271684374326
49.904,49.45281727325284,0.4511827267471631
54.653,54.753394580846056,-0.10039458084605712
62.032,60.698623251148156,1.3333767488518404
65.164,63.12515271954505,2.0388472804549522
66.846,63.636729408438285,3.209270591561719
66.234,63.21147496018176,3.022525039818234
1.687,1.721705610677354,-0.034705610677354004
3.563,3.663012069888822,-0.10001206988882183
8.162,7.396070455262134,0.7659295447378671
12.77,11.076289808464473,1.6937101915355264
21.87,18.68842358220086,3.1815764177991426
26.794,26.519069939254695,0.2749300607453051
38.416,38.864021562097484,-0.44802156209748745
47.758,48.78703625624622,-1.029036256246215
53.539,53.09527505771045,0.44372494228954906
58.7,60.146477708172654,-1.446477708172651
60.363,60.462500778759654,-0.0995007787596549
61.979,62.66163997229312,-0.6826399722931242
61.213,63.090107454425066,-1.8771074544250652
1.601,1.7008474207818374,-0.09984742078183739
3.804,3.217024389924017,0.5869756100759829
8.125,6.882853006348991,1.2421469936510086
9.14,10.228360566525392,-1.0883605665253917
16.84,16.94025883242181,-0.10025883242181166
24.24,24.675454553405842,-0.4354545534058438
40.278,39.07853517768575,1.1994648223142477
44.835,43.907727541828244,0.9272724581717569
51.844,51.55817400632818,0.28582599367182127
57.04,56.939563328124066,0.10043667187593286
58.769,58.456800256426305,0.31219974357369296
59.23,59.3300575623466,-0.10005756234660623
59.386,59.2857455619968,0.10025443800320488
